run time using row multiplication
matrix size 	 run time
2 	 0.0
3 	 0.0009989738464355469
4 	 0.0009958744049072266
5 	 0.000997304916381836
6 	 0.0019943714141845703
7 	 0.0006515979766845703
8 	 0.0009968280792236328
9 	 0.0
10 	 0.0070972442626953125
11 	 0.004006385803222656
12 	 0.0
13 	 0.0
14 	 0.009405136108398438
15 	 0.0009968280792236328
16 	 0.0051996707916259766
17 	 0.008210420608520508
18 	 0.0062291622161865234
19 	 0.0020949840545654297
20 	 0.01451563835144043
21 	 0.008142948150634766
22 	 0.008919000625610352
23 	 0.017636775970458984
24 	 0.017780542373657227
25 	 0.017417430877685547
26 	 0.014615774154663086
27 	 0.02506542205810547
28 	 0.023775339126586914
29 	 0.02583932876586914
30 	 0.0250852108001709
31 	 0.0344090461730957
32 	 0.0312504768371582
33 	 0.033315181732177734
34 	 0.04372358322143555
35 	 0.0400547981262207
36 	 0.05117464065551758
37 	 0.057303428649902344
38 	 0.057083845138549805
39 	 0.06835556030273438
40 	 0.07856249809265137
41 	 0.06497645378112793
42 	 0.07689952850341797
43 	 0.09042501449584961
44 	 0.09616756439208984
45 	 0.09331750869750977
46 	 0.0960230827331543
47 	 0.11319470405578613
48 	 0.1558229923248291
49 	 0.16783905029296875
50 	 0.1589951515197754
51 	 0.17324447631835938
52 	 0.1680600643157959
53 	 0.20272469520568848
54 	 0.20807623863220215
55 	 0.2151355743408203
56 	 0.24132704734802246
57 	 0.27898550033569336
58 	 0.2633700370788574
59 	 0.3262319564819336
60 	 0.29512476921081543
61 	 0.31851863861083984
62 	 0.34853267669677734
63 	 0.3376476764678955
64 	 0.3343238830566406
65 	 0.34436869621276855
66 	 0.3782222270965576
67 	 0.3823208808898926
68 	 0.31755757331848145
69 	 0.3349733352661133
70 	 0.3774111270904541
71 	 0.3850233554840088
72 	 0.36347246170043945
73 	 0.5584931373596191
74 	 0.4054434299468994
75 	 0.49242329597473145
76 	 0.9409997463226318
77 	 0.9604735374450684
78 	 1.3234670162200928
79 	 1.4685320854187012
80 	 1.511120319366455
81 	 1.5060789585113525
82 	 1.722282886505127
83 	 1.6116664409637451
84 	 1.6546950340270996
85 	 1.641934871673584
86 	 1.3852894306182861
87 	 1.546724557876587
88 	 1.5990245342254639
89 	 1.333282709121704
90 	 1.3710923194885254
91 	 1.7289247512817383
92 	 1.527104139328003
93 	 1.7871065139770508
94 	 1.878084659576416
95 	 2.269184112548828
96 	 1.954625129699707
97 	 1.8780486583709717
98 	 1.5990221500396729
99 	 1.9502696990966797
100 	 1.9893338680267334
101 	 2.13036847114563
102 	 2.359166145324707
103 	 2.466498613357544
104 	 2.1337292194366455
105 	 2.317445755004883
106 	 2.399123430252075
107 	 2.4741029739379883
108 	 2.840160369873047
109 	 2.6035025119781494
110 	 2.830099582672119
111 	 2.6101508140563965
112 	 2.6345176696777344
113 	 2.9195640087127686
114 	 2.863537073135376
115 	 3.842611074447632
116 	 3.3479349613189697
117 	 3.7353899478912354
118 	 3.687554359436035
119 	 3.8671813011169434
120 	 3.476806163787842
121 	 3.8401756286621094
122 	 4.105631589889526
123 	 4.549307823181152
124 	 2.309020757675171
125 	 2.1381125450134277
126 	 2.566091775894165
127 	 4.455413818359375
128 	 4.563885927200317
129 	 4.831898212432861
130 	 4.924997806549072
131 	 4.761199712753296
132 	 5.236056566238403
133 	 5.088540077209473
134 	 4.9468841552734375
135 	 5.903693675994873
136 	 5.622583866119385
137 	 6.00100040435791
138 	 6.019036531448364
139 	 6.3389503955841064
140 	 6.388739585876465
141 	 6.579891681671143
142 	 6.787429094314575
143 	 6.832928895950317
144 	 7.020257472991943
145 	 7.105443239212036
146 	 7.4393086433410645
147 	 7.540153741836548
148 	 7.557368755340576
149 	 7.810436964035034


run time using numpy.dot
matrix size 	 run time
2 	 0.0
3 	 0.0
4 	 0.0
5 	 0.0
6 	 0.0
7 	 0.0
8 	 0.0
9 	 0.0
10 	 0.0
11 	 0.0
12 	 0.0
13 	 0.0
14 	 0.0
15 	 0.0
16 	 0.0
17 	 0.000997781753540039
18 	 0.0
19 	 0.0
20 	 0.0
21 	 0.0
22 	 0.0
23 	 0.0
24 	 0.0
25 	 0.0
26 	 0.0
27 	 0.0
28 	 0.0
29 	 0.0
30 	 0.0
31 	 0.0
32 	 0.0
33 	 0.0
34 	 0.0
35 	 0.0
36 	 0.0
37 	 0.0
38 	 0.0
39 	 0.0
40 	 0.0
41 	 0.0
42 	 0.0
43 	 0.0
44 	 0.0
45 	 0.0
46 	 0.0
47 	 0.00015115737915039062
48 	 0.0
49 	 0.0
50 	 0.0
51 	 0.0
52 	 0.0
53 	 0.0
54 	 0.0
55 	 0.0
56 	 0.0
57 	 0.0
58 	 0.0
59 	 0.0
60 	 0.0
61 	 0.0
62 	 0.0
63 	 0.0
64 	 0.0
65 	 0.003906726837158203
66 	 0.0
67 	 0.0
68 	 0.0
69 	 0.004518747329711914
70 	 0.0
71 	 0.0
72 	 0.0
73 	 0.0007619857788085938
74 	 0.0
75 	 0.0
76 	 0.0
77 	 0.0
78 	 0.0010004043579101562
79 	 0.0
80 	 0.0
81 	 0.0
82 	 0.0
83 	 0.0
84 	 0.0
85 	 0.0
86 	 0.0
87 	 0.0
88 	 0.0
89 	 0.0
90 	 0.0
91 	 0.0
92 	 0.0
93 	 0.0
94 	 0.0009827613830566406
95 	 0.0
96 	 0.0
97 	 0.0
98 	 0.0
99 	 0.0
100 	 0.0
101 	 0.0009963512420654297
102 	 0.0
103 	 0.0
104 	 0.0
105 	 0.0
106 	 0.0
107 	 0.0
108 	 0.0
109 	 0.0
110 	 0.0
111 	 0.0
112 	 0.0
113 	 0.0010819435119628906
114 	 0.0
115 	 0.0
116 	 0.0009970664978027344
117 	 0.007955312728881836
118 	 0.0
119 	 0.0
120 	 0.0
121 	 0.0
122 	 0.0009965896606445312
123 	 0.0008084774017333984
124 	 0.0
125 	 0.0
126 	 0.0
127 	 0.0
128 	 0.0
129 	 0.0
130 	 0.0
131 	 0.0
132 	 0.0
133 	 0.0010294914245605469
134 	 0.0
135 	 0.0
136 	 0.008011817932128906
137 	 0.0
138 	 0.0
139 	 0.0
140 	 0.0
141 	 0.0
142 	 0.0
143 	 0.0
144 	 0.0
145 	 0.0
146 	 0.0
147 	 0.0
148 	 0.0
149 	 0.0
